481059: ('LOAD_FAST', 'STORE_SUBSCR')
476696: ('LOAD_FAST', 'BINARY_ADD')
473014: ('STORE_DEREF', 'LOAD_FAST')
462218: ('<0>', 'SETUP_FINALLY')
461817: ('BUILD_TUPLE', 'LOAD_FAST')
455304: ('STORE_FAST', 'JUMP_ABSOLUTE')
451349: ('LOAD_DEREF', 'CALL_FUNCTION')
450200: ('CALL_METHOD', 'CALL_FUNCTION')
445821: ('SETUP_FINALLY', 'LOAD_GLOBAL')
442993: ('LOAD_DEREF', 'LOAD_GLOBAL')
439586: ('CALL_FUNCTION', 'DUP_TOP')
428618: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
420042: ('CALL_FUNCTION', 'UNARY_NOT')
419765: ('IS_OP', 'RETURN_VALUE')
414583: ('POP_BLOCK', 'RETURN_VALUE')
414307: ('BINARY_ADD', 'STORE_FAST')
409838: ('STORE_FAST', 'LOAD_DEREF')
409351: ('LOAD_FAST', 'BUILD_LIST')
405020: ('CALL_METHOD', 'LOAD_CONST')
396109: ('FOR_ITER', 'LOAD_GLOBAL')
395942: ('LOAD_CONST', 'BUILD_SLICE')
378228: ('LOAD_DEREF', 'LOAD_METHOD')
363746: ('LOAD_CONST', 'CONTAINS_OP')
363594: ('EXTENDED_ARG', 'FOR_ITER')
357245: ('LOAD_DEREF', 'CALL_METHOD')
356158: ('LOAD_ATTR', 'YIELD_VALUE')
355618: ('STORE_FAST', 'JUMP_FORWARD')
353222: ('DUP_TOP', 'LOAD_GLOBAL')
352642: ('BINARY_ADD', 'YIELD_VALUE')
352191: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
351331: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
343774: ('CALL_FUNCTION', 'JUMP_IF_FALSE_OR_POP')
339537: ('POP_BLOCK', 'JUMP_FORWARD')
333603: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
330291: ('BINARY_SUBSCR', 'RETURN_VALUE')
324458: ('LOAD_FAST', 'BUILD_MAP')
324252: ('CONTAINS_OP', 'POP_JUMP_IF_TRUE')
322706: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
319145: ('CALL_METHOD', 'EXTENDED_ARG')
318315: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
317944: ('LOAD_ATTR', 'UNARY_NOT')
317443: ('LOAD_CONST', 'BINARY_SUBTRACT')
315111: ('LOAD_FAST', 'JUMP_IF_TRUE_OR_POP')
314707: ('CALL_FUNCTION', 'STORE_DEREF')
311286: ('LOAD_FAST', 'DICT_MERGE')
311286: ('DICT_MERGE', 'CALL_FUNCTION_EX')
296575: ('INPLACE_ADD', 'STORE_FAST')
291106: ('FOR_ITER', 'JUMP_ABSOLUTE')
290311: ('CALL_METHOD', 'LIST_APPEND')
286997: ('POP_TOP', 'RETURN_VALUE')
278173: ('BINARY_SUBSCR', 'LOAD_METHOD')
275712: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
273872: ('LOAD_CONST', 'DUP_TOP')
273829: ('STORE_ATTR', 'BUILD_LIST')
271096: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
259380: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
250204: ('CALL_METHOD', 'GET_ITER')
250193: ('LOAD_GLOBAL', 'POP_JUMP_IF_FALSE')
248711: ('BINARY_ADD', 'LOAD_FAST')
246517: ('CONTAINS_OP', 'RETURN_VALUE')
246344: ('ROT_THREE', 'COMPARE_OP')
246344: ('DUP_TOP', 'ROT_THREE')
243231: ('POP_TOP', 'JUMP_FORWARD')
242900: ('STORE_SUBSCR', 'LOAD_CONST')
239835: ('CALL_FUNCTION', 'POP_BLOCK')
239170: ('BINARY_SUBSCR', 'BINARY_SUBSCR')
239154: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
238883: ('ROT_TWO', 'POP_TOP')
235418: ('POP_TOP', 'POP_BLOCK')
228297: ('POP_JUMP_IF_TRUE', 'BUILD_LIST')
227907: ('POP_TOP', 'POP_EXCEPT')
227742: ('POP_EXCEPT', 'LOAD_CONST')
227046: ('STORE_FAST', 'POP_BLOCK')
224603: ('LOAD_CONST', 'INPLACE_SUBTRACT')
219822: ('LOAD_DEREF', 'CONTAINS_OP')
215325: ('<0>', 'LOAD_CLOSURE')
214655: ('STORE_FAST', 'POP_TOP')
213695: ('POP_TOP', 'SETUP_FINALLY')
210982: ('<0>', 'LOAD_DEREF')
209398: ('BINARY_SUBSCR', 'COMPARE_OP')
208141: ('ROT_THREE', 'ROT_TWO')
203968: ('POP_JUMP_IF_TRUE', 'FOR_ITER')
203803: ('LOAD_CONST', 'IMPORT_NAME')
201672: ('IMPORT_NAME', 'IMPORT_FROM')
200936: ('IMPORT_FROM', 'STORE_FAST')
200612: ('DUP_TOP', 'DUP_TOP')
200612: ('DUP_TOP', 'CALL_FUNCTION')
198221: ('SETUP_WITH', 'POP_TOP')
197516: ('CALL_FUNCTION_EX', 'LOAD_FAST')
196888: ('ROT_TWO', 'LOAD_FAST')
196888: ('DELETE_ATTR', 'SETUP_FINALLY')
196888: ('LOAD_FAST', 'ROT_THREE')
195297: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
195183: ('LOAD_CONST', 'INPLACE_ADD')
195120: ('CALL_METHOD', 'UNPACK_SEQUENCE')
193772: ('JUMP_FORWARD', 'LOAD_GLOBAL')
193632: ('POP_BLOCK', 'LOAD_CONST')
193165: ('<0>', 'BUILD_MAP')
192482: ('CALL_METHOD', 'JUMP_IF_TRUE_OR_POP')
186543: ('INPLACE_SUBTRACT', 'STORE_FAST')
182592: ('LOAD_CONST', 'LOAD_GLOBAL')
182428: ('LOAD_GLOBAL', 'BINARY_SUBSCR')
177702: ('BUILD_CONST_KEY_MAP', 'LOAD_CLOSURE')
174937: ('LOAD_FAST', 'ROT_TWO')
171996: ('GET_ITER', 'EXTENDED_ARG')
168568: ('CALL_FUNCTION_KW', 'LIST_APPEND')
163718: ('UNARY_NOT', 'JUMP_IF_TRUE_OR_POP')
