308879: ('BINARY_ADD', 'LOAD_FAST')
277524: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
270357: ('LOAD_FAST', 'BINARY_MULTIPLY')
255831: ('LOAD_FAST', 'JUMP_IF_TRUE_OR_POP')
247306: ('LIST_APPEND', 'JUMP_ABSOLUTE')
237649: ('CALL_FUNCTION', 'LOAD_FAST')
235718: ('COMPARE_OP', 'POP_JUMP_IF_TRUE')
233521: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
220056: ('LOAD_FAST', 'LIST_APPEND')
219610: ('FOR_ITER', 'JUMP_ABSOLUTE')
215248: ('POP_JUMP_IF_TRUE', 'FOR_ITER')
215068: ('LOAD_CONST', 'MAKE_FUNCTION')
211689: ('<0>', 'BUILD_LIST')
211600: ('LOAD_GLOBAL', 'BUILD_LIST')
210932: ('GET_ITER', 'CALL_FUNCTION')
210932: ('LOAD_FAST', 'FOR_ITER')
210705: ('FOR_ITER', 'RETURN_VALUE')
210592: ('MAKE_FUNCTION', 'LOAD_FAST')
203176: ('LOAD_FAST', 'BUILD_LIST')
192220: ('BINARY_SUBSCR', 'JUMP_FORWARD')
188680: ('BINARY_SUBSCR', 'CONTAINS_OP')
186560: ('BINARY_SUBSCR', 'JUMP_IF_TRUE_OR_POP')
178238: ('STORE_FAST', 'LOAD_CONST')
161336: ('POP_TOP', 'EXTENDED_ARG')
150968: ('STORE_FAST', 'BUILD_LIST')
150057: ('CONTAINS_OP', 'STORE_FAST')
142713: ('BINARY_SUBSCR', 'BINARY_ADD')
141128: ('LOAD_CONST', 'BINARY_ADD')
137715: ('BINARY_ADD', 'STORE_FAST')
135644: ('BINARY_SUBSCR', 'GET_ITER')
135529: ('LOAD_CONST', 'BUILD_LIST')
135475: ('BUILD_LIST', 'COMPARE_OP')
135375: ('BINARY_MULTIPLY', 'LOAD_CONST')
135370: ('BINARY_MULTIPLY', 'BINARY_ADD')
130415: ('LOAD_FAST', 'STORE_SUBSCR')
99983: ('STORE_FAST', 'EXTENDED_ARG')
97920: ('JUMP_IF_TRUE_OR_POP', 'BUILD_LIST')
94380: ('BINARY_SUBSCR', 'POP_JUMP_IF_TRUE')
89391: ('LOAD_METHOD', 'LOAD_GLOBAL')
