18152: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
18083: ('BINARY_SUBTRACT', 'STORE_FAST')
17869: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
17629: ('LOAD_NAME', 'LOAD_NAME')
17560: ('STORE_SUBSCR', 'EXTENDED_ARG')
17526: ('LOAD_GLOBAL', 'COMPARE_OP')
17503: ('LOAD_GLOBAL', 'BINARY_AND')
17242: ('LOAD_FAST', 'CALL_FUNCTION_EX')
16788: ('IMPORT_FROM', 'STORE_FAST')
16629: ('POP_JUMP_IF_FALSE', 'JUMP_FORWARD')
16594: ('POP_TOP', 'EXTENDED_ARG')
16375: ('JUMP_FORWARD', 'JUMP_FORWARD')
15994: ('CALL_FUNCTION', 'RAISE_VARARGS')
15829: ('LOAD_FAST', 'ROT_TWO')
15694: ('INPLACE_ADD', 'STORE_FAST')
15671: ('ROT_TWO', 'LOAD_FAST')
15539: ('LOAD_DEREF', 'LOAD_DEREF')
15524: ('LOAD_CONST', 'INPLACE_ADD')
15391: ('LOAD_FAST', 'DUP_TOP')
15039: ('LOAD_DEREF', 'LOAD_CONST')
14882: ('STORE_SUBSCR', 'POP_BLOCK')
14879: ('LOAD_FAST', 'DELETE_ATTR')
14786: ('POP_BLOCK', 'ROT_TWO')
14735: ('BINARY_SUBSCR', 'BINARY_SUBTRACT')
14732: ('STORE_FAST', 'POP_TOP')
14605: ('ROT_TWO', 'LOAD_CONST')
14431: ('STORE_ATTR', 'DUP_TOP')
14343: ('CALL_FUNCTION', 'BUILD_TUPLE')
13984: ('STORE_NAME', 'LOAD_NAME')
13946: ('LOAD_GLOBAL', 'LOAD_CLOSURE')
13847: ('LOAD_ATTR', 'UNPACK_SEQUENCE')
13808: ('ROT_TWO', 'STORE_ATTR')
13808: ('DUP_TOP', 'LOAD_ATTR')
13677: ('LOAD_FAST', 'IS_OP')
13622: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
13537: ('CALL_FUNCTION', 'POP_BLOCK')
13533: ('CALL_FUNCTION_KW', 'LOAD_GLOBAL')
13489: ('BUILD_TUPLE', 'CALL_METHOD')
13245: ('BINARY_SUBSCR', 'POP_BLOCK')
13188: ('BINARY_ADD', 'LOAD_CONST')
13166: ('STORE_FAST', 'EXTENDED_ARG')
13048: ('STORE_FAST', 'DUP_TOP')
13019: ('BUILD_MAP', 'STORE_FAST')
12834: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
12728: ('BINARY_AND', 'POP_JUMP_IF_FALSE')
12474: ('BINARY_SUBSCR', 'COMPARE_OP')
12410: ('STORE_SUBSCR', 'LOAD_CONST')
12400: ('BINARY_SUBSCR', 'BUILD_TUPLE')
12243: ('STORE_FAST', 'UNPACK_SEQUENCE')
12212: ('BINARY_SUBSCR', 'EXTENDED_ARG')
12184: ('BUILD_TUPLE', 'STORE_FAST')
12142: ('JUMP_FORWARD', 'STORE_FAST')
12048: ('CALL_FUNCTION_EX', 'POP_TOP')
11856: ('LOAD_ATTR', 'GET_ITER')
11606: ('CALL_METHOD', 'EXTENDED_ARG')
11524: ('MAKE_FUNCTION', 'STORE_FAST')
11431: ('BUILD_TUPLE', 'GET_ITER')
11236: ('STORE_DEREF', 'LOAD_CONST')
11210: ('INPLACE_ADD', 'ROT_TWO')
11169: ('BUILD_LIST', 'CALL_FUNCTION')
11133: ('POP_BLOCK', 'LOAD_GLOBAL')
11087: ('BINARY_SUBTRACT', 'LOAD_CONST')
11022: ('STORE_FAST', 'BUILD_MAP')
10779: ('CALL_FUNCTION', 'CALL_FUNCTION_EX')
10688: ('LOAD_ATTR', 'CONTAINS_OP')
10642: ('BUILD_TUPLE', 'CONTAINS_OP')
10578: ('BINARY_SUBSCR', 'GET_ITER')
10497: ('LOAD_CONST', 'GET_ITER')
10442: ('LOAD_FAST', 'POP_BLOCK')
10365: ('CALL_METHOD', 'GET_ITER')
10328: ('CALL_METHOD', 'JUMP_IF_FALSE_OR_POP')
10274: ('POP_JUMP_IF_TRUE', 'BUILD_LIST')
10258: ('LOAD_DEREF', 'BINARY_ADD')
10239: ('BINARY_ADD', 'STORE_DEREF')
10188: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
10079: ('CALL_FUNCTION', 'JUMP_IF_FALSE_OR_POP')
10078: ('IMPORT_FROM', 'STORE_NAME')
9918: ('DELETE_ATTR', 'LOAD_FAST')
9884: ('LOAD_FAST', 'BINARY_MODULO')
9503: ('LOAD_DEREF', 'LOAD_ATTR')
9498: ('CALL_FUNCTION_EX', 'POP_BLOCK')
9451: ('BUILD_TUPLE', 'JUMP_IF_NOT_EXC_MATCH')
9117: ('JUMP_FORWARD', 'JUMP_ABSOLUTE')
8978: ('CALL_FUNCTION', 'LIST_APPEND')
8969: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
8920: ('JUMP_IF_FALSE_OR_POP', 'LOAD_FAST')
8917: ('UNPACK_SEQUENCE', 'DUP_TOP')
8876: ('LOAD_NAME', 'LOAD_CONST')
8825: ('CALL_FUNCTION', 'STORE_NAME')
8745: ('LOAD_ATTR', 'STORE_SUBSCR')
8657: ('CALL_FUNCTION', 'BINARY_SUBSCR')
8517: ('<0>', 'BUILD_MAP')
8499: ('CALL_FUNCTION', 'BINARY_ADD')
8259: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
8219: ('EXTENDED_ARG', 'JUMP_FORWARD')
8136: ('CALL_FUNCTION', 'BINARY_MODULO')
8135: ('BUILD_TUPLE', 'BINARY_SUBSCR')
7998: ('LOAD_GLOBAL', 'STORE_DEREF')
7989: ('LOAD_GLOBAL', 'SETUP_WITH')
7987: ('BINARY_SUBSCR', 'BUILD_LIST')
7837: ('LOAD_FAST', 'BINARY_MULTIPLY')
7726: ('STORE_ATTR', 'SETUP_FINALLY')
7680: ('CALL_FUNCTION', 'SETUP_WITH')
7539: ('LIST_EXTEND', 'LIST_TO_TUPLE')
7503: ('BINARY_MULTIPLY', 'STORE_FAST')
7464: ('LOAD_CONST', 'STORE_NAME')
7440: ('LOAD_FAST', 'LIST_EXTEND')
7051: ('LOAD_CONST', 'BINARY_SUBTRACT')
7036: ('DELETE_SUBSCR', 'POP_BLOCK')
6971: ('LOAD_CONST', 'LOAD_NAME')
