216678: ('CALL_FUNCTION_EX', 'STORE_FAST')
213068: ('POP_JUMP_IF_TRUE', 'LOAD_GLOBAL')
211719: ('CALL_FUNCTION', 'GET_ITER')
209834: ('LOAD_FAST', 'BINARY_ADD')
208163: ('EXTENDED_ARG', 'FOR_ITER')
206437: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
204160: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
203499: ('STORE_FAST', 'UNPACK_SEQUENCE')
201683: ('BUILD_LIST', 'CALL_METHOD')
199248: ('BUILD_TUPLE', 'CONTAINS_OP')
197826: ('CALL_METHOD', 'LIST_APPEND')
196542: ('BINARY_SUBSCR', 'LOAD_METHOD')
193461: ('JUMP_FORWARD', 'LOAD_CONST')
191983: ('FOR_ITER', 'POP_BLOCK')
187553: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
187148: ('CALL_FUNCTION_KW', 'GET_ITER')
185810: ('BINARY_SUBSCR', 'LIST_APPEND')
176089: ('BUILD_TUPLE', 'BINARY_MODULO')
174978: ('LOAD_FAST', 'BUILD_MAP')
174957: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
173689: ('BUILD_TUPLE', 'STORE_FAST')
173274: ('BINARY_MODULO', 'RETURN_VALUE')
172902: ('LOAD_METHOD', 'LOAD_GLOBAL')
169413: ('FOR_ITER', 'JUMP_ABSOLUTE')
164940: ('LOAD_CONST', 'CONTAINS_OP')
164724: ('BINARY_ADD', 'CALL_FUNCTION')
162199: ('LOAD_FAST', 'LOAD_DEREF')
161573: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
161531: ('POP_JUMP_IF_TRUE', 'LOAD_DEREF')
159315: ('CALL_FUNCTION', 'POP_BLOCK')
158233: ('CALL_FUNCTION', 'LOAD_CONST')
156309: ('POP_EXCEPT', 'LOAD_CONST')
156130: ('CALL_METHOD', 'UNPACK_SEQUENCE')
154824: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
148086: ('CALL_METHOD', 'LOAD_CONST')
145174: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
145139: ('POP_TOP', 'POP_EXCEPT')
144858: ('STORE_ATTR', 'LOAD_GLOBAL')
138219: ('LOAD_GLOBAL', 'BUILD_TUPLE')
137890: ('LOAD_ATTR', 'GET_YIELD_FROM_ITER')
137337: ('<0>', 'LOAD_CLOSURE')
134680: ('COMPARE_OP', 'BINARY_ADD')
133792: ('MAKE_FUNCTION', 'LOAD_DEREF')
133762: ('CONTAINS_OP', 'YIELD_VALUE')
130752: ('LOAD_ATTR', 'LIST_APPEND')
130455: ('CALL_FUNCTION', 'GET_YIELD_FROM_ITER')
130332: ('CALL_FUNCTION_EX', 'CALL_METHOD')
129441: ('FOR_ITER', 'LOAD_GLOBAL')
129255: ('BINARY_SUBSCR', 'CONTAINS_OP')
