854332: ('LOAD_GLOBAL', 'STORE_FAST')
851394: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
810922: ('CALL_FUNCTION', 'LOAD_GLOBAL')
809532: ('LOAD_CONST', 'CONTAINS_OP')
800530: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
799439: ('POP_TOP', 'POP_BLOCK')
790334: ('LOAD_DEREF', 'LOAD_METHOD')
784534: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
777023: ('LOAD_DEREF', 'LOAD_GLOBAL')
773721: ('SETUP_FINALLY', 'LOAD_FAST')
753789: ('BUILD_TUPLE', 'BINARY_SUBSCR')
748304: ('LOAD_FAST', 'COMPARE_OP')
745564: ('CALL_METHOD', 'YIELD_VALUE')
743666: ('LOAD_GLOBAL', 'CONTAINS_OP')
721595: ('BUILD_LIST', 'RETURN_VALUE')
711778: ('CALL_FUNCTION_KW', 'POP_TOP')
702645: ('CALL_FUNCTION', 'UNARY_NOT')
688443: ('JUMP_IF_FALSE_OR_POP', 'LOAD_GLOBAL')
687979: ('LOAD_GLOBAL', 'IS_OP')
683089: ('BINARY_SUBSCR', 'BUILD_TUPLE')
678779: ('CALL_FUNCTION', 'LOAD_ATTR')
677458: ('STORE_FAST', 'POP_BLOCK')
671275: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
666275: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
665523: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
656799: ('POP_JUMP_IF_FALSE', 'LOAD_CLOSURE')
656554: ('BINARY_SUBSCR', 'GET_ITER')
648442: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
643370: ('BINARY_SUBSCR', 'POP_BLOCK')
641998: ('LOAD_FAST', 'EXTENDED_ARG')
632395: ('LOAD_GLOBAL', 'LOAD_DEREF')
631343: ('STORE_FAST', 'LOAD_CONST')
623456: ('LOAD_DEREF', 'BUILD_LIST')
606114: ('IS_OP', 'EXTENDED_ARG')
581870: ('LOAD_CONST', 'LOAD_GLOBAL')
577984: ('IMPORT_FROM', 'STORE_FAST')
573121: ('BINARY_ADD', 'LOAD_GLOBAL')
568023: ('JUMP_IF_TRUE_OR_POP', 'STORE_FAST')
566954: ('CALL_FUNCTION', 'STORE_DEREF')
561951: ('BUILD_MAP', 'STORE_FAST')
561807: ('CONTAINS_OP', 'POP_JUMP_IF_TRUE')
560761: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
558595: ('LOAD_CONST', 'IMPORT_NAME')
551955: ('IMPORT_NAME', 'IMPORT_FROM')
547138: ('COMPARE_OP', 'POP_JUMP_IF_TRUE')
539996: ('STORE_FAST', 'POP_TOP')
529895: ('LOAD_DEREF', 'CALL_METHOD')
519736: ('LOAD_ATTR', 'CALL_METHOD')
516098: ('POP_TOP', 'JUMP_FORWARD')
495491: ('MAKE_FUNCTION', 'STORE_DEREF')
494798: ('MAKE_FUNCTION', 'STORE_FAST')
491767: ('POP_JUMP_IF_FALSE', 'FOR_ITER')
487774: ('CALL_METHOD', 'LIST_APPEND')
486031: ('BUILD_TUPLE', 'BUILD_MAP')
476865: ('LOAD_ATTR', 'IS_OP')
475636: ('CALL_FUNCTION', 'COMPARE_OP')
458948: ('BUILD_CONST_KEY_MAP', 'LOAD_CLOSURE')
452110: ('CALL_FUNCTION', 'CALL_METHOD')
435505: ('LOAD_GLOBAL', 'LOAD_CLOSURE')
429833: ('STORE_DEREF', 'LOAD_GLOBAL')
411943: ('CALL_FUNCTION_EX', 'STORE_FAST')
406118: ('UNARY_NOT', 'RETURN_VALUE')
403893: ('BUILD_TUPLE', 'LOAD_FAST')
393918: ('BINARY_ADD', 'STORE_FAST')
390829: ('FORMAT_VALUE', 'LOAD_CONST')
390680: ('STORE_ATTR', 'LOAD_GLOBAL')
385618: ('LOAD_CONST', 'BUILD_STRING')
383290: ('LOAD_ATTR', 'GET_ITER')
379735: ('LOAD_METHOD', 'LOAD_GLOBAL')
377821: ('LOAD_FAST', 'LIST_APPEND')
369234: ('BINARY_SUBSCR', 'CALL_METHOD')
362205: ('STORE_SUBSCR', 'LOAD_GLOBAL')
349809: ('CALL_METHOD', 'CALL_FUNCTION')
330536: ('JUMP_ABSOLUTE', 'LOAD_FAST')
328012: ('LOAD_ATTR', 'FORMAT_VALUE')
323765: ('BUILD_STRING', 'LOAD_CONST')
310067: ('LOAD_DEREF', 'COMPARE_OP')
309990: ('JUMP_IF_FALSE_OR_POP', 'LOAD_FAST')
308107: ('LOAD_FAST', 'BUILD_LIST')
306497: ('BUILD_TUPLE', 'CONTAINS_OP')
305105: ('JUMP_FORWARD', 'LIST_APPEND')
302868: ('CALL_METHOD', 'DUP_TOP')
296297: ('CALL_FUNCTION', 'GET_ITER')
296053: ('COMPARE_OP', 'JUMP_IF_FALSE_OR_POP')
293996: ('STORE_FAST', 'BUILD_MAP')
286459: ('LOAD_ATTR', 'DICT_MERGE')
286458: ('BINARY_LSHIFT', 'LOAD_GLOBAL')
278448: ('STORE_DEREF', 'LOAD_DEREF')
277022: ('LOAD_FAST', 'BINARY_ADD')
273871: ('LOAD_ATTR', 'BINARY_SUBSCR')
271903: ('COMPARE_OP', 'RETURN_VALUE')
255181: ('STORE_FAST', 'SETUP_FINALLY')
254373: ('LOAD_CONST', 'DUP_TOP')
253691: ('LOAD_FAST', 'STORE_SUBSCR')
253172: ('CALL_FUNCTION_KW', 'CALL_METHOD')
251207: ('POP_JUMP_IF_FALSE', 'BUILD_MAP')
248448: ('SETUP_WITH', 'POP_TOP')
248202: ('DUP_TOP', 'DUP_TOP')
248202: ('DUP_TOP', 'CALL_FUNCTION')
245094: ('LOAD_CONST', 'BUILD_MAP')
244997: ('BUILD_MAP', 'CALL_METHOD')
244568: ('IS_OP', 'JUMP_IF_FALSE_OR_POP')
241989: ('STORE_DEREF', 'LOAD_FAST')
241061: ('BINARY_SUBSCR', 'JUMP_FORWARD')
240307: ('BUILD_LIST', 'STORE_FAST')
238188: ('BUILD_CONST_KEY_MAP', 'LOAD_CONST')
236356: ('STORE_DEREF', 'LOAD_CLOSURE')
235036: ('CALL_FUNCTION', 'LIST_APPEND')
232658: ('CALL_FUNCTION_EX', 'POP_BLOCK')
226291: ('BINARY_SUBSCR', 'LOAD_CONST')
225711: ('POP_JUMP_IF_TRUE', 'FOR_ITER')
224653: ('CALL_FUNCTION_EX', 'POP_TOP')
223348: ('LOAD_DEREF', 'LOAD_DEREF')
219050: ('COMPARE_OP', 'BINARY_AND')
204918: ('CONTAINS_OP', 'EXTENDED_ARG')
203689: ('LOAD_CONST', 'BINARY_ADD')
202300: ('BINARY_MULTIPLY', 'CALL_METHOD')
200604: ('POP_TOP', 'RETURN_VALUE')
198048: ('BINARY_SUBSCR', 'CALL_FUNCTION')
