200001: ('STORE_FAST', 'DELETE_FAST')
200000: ('POP_EXCEPT', 'POP_BLOCK')
200000: ('POP_JUMP_IF_TRUE', 'POP_EXCEPT')
200000: ('DELETE_FAST', 'JUMP_ABSOLUTE')
100721: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
100211: ('LOAD_FAST', 'BUILD_LIST')
100096: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
100053: ('POP_JUMP_IF_FALSE', 'EXTENDED_ARG')
100051: ('CALL_METHOD', 'GET_ITER')
100047: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
100001: ('POP_JUMP_IF_FALSE', 'BUILD_MAP')
2186: ('STORE_NAME', 'LOAD_CONST')
1411: ('MAKE_FUNCTION', 'STORE_NAME')
1123: ('CALL_FUNCTION', 'LOAD_CONST')
1058: ('FOR_ITER', 'JUMP_ABSOLUTE')
1042: ('CALL_METHOD', 'CALL_METHOD')
833: ('POP_JUMP_IF_TRUE', 'LOAD_GLOBAL')
795: ('LOAD_NAME', 'LOAD_NAME')
790: ('BUILD_SLICE', 'BINARY_SUBSCR')
775: ('STORE_NAME', 'LOAD_NAME')
766: ('IS_OP', 'EXTENDED_ARG')
644: ('LOAD_CONST', 'BUILD_SLICE')
621: ('LOAD_CONST', 'STORE_NAME')
582: ('SET_ADD', 'JUMP_ABSOLUTE')
570: ('LOAD_NAME', 'LOAD_CONST')
570: ('CALL_METHOD', 'SET_ADD')
469: ('STORE_SUBSCR', 'EXTENDED_ARG')
442: ('CALL_FUNCTION', 'STORE_NAME')
429: ('LOAD_NAME', 'CALL_FUNCTION')
398: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
374: ('LOAD_DEREF', 'LOAD_FAST')
363: ('LOAD_NAME', 'LOAD_ATTR')
361: ('LOAD_CONST', 'BINARY_ADD')
339: ('CALL_FUNCTION', 'LOAD_METHOD')
338: ('COMPARE_OP', 'JUMP_IF_FALSE_OR_POP')
333: ('POP_TOP', 'RETURN_VALUE')
328: ('LOAD_ATTR', 'RETURN_VALUE')
325: ('BUILD_TUPLE', 'BINARY_MODULO')
305: ('LOAD_CONST', 'BINARY_AND')
294: ('LOAD_NAME', 'STORE_NAME')
279: ('STORE_FAST', 'LOAD_DEREF')
277: ('CALL_FUNCTION', 'CALL_FUNCTION')
273: ('POP_TOP', 'LOAD_NAME')
272: ('BUILD_TUPLE', 'CONTAINS_OP')
271: ('BINARY_SUBSCR', 'CALL_FUNCTION')
271: ('CONTAINS_OP', 'EXTENDED_ARG')
269: ('JUMP_IF_FALSE_OR_POP', 'LOAD_FAST')
266: ('LOAD_CLOSURE', 'BUILD_TUPLE')
262: ('<0>', 'POP_TOP')
256: ('BINARY_MODULO', 'LIST_APPEND')
256: ('LOAD_FAST', 'LIST_APPEND')
255: ('BINARY_ADD', 'STORE_FAST')
246: ('LOAD_CONST', 'LOAD_NAME')
224: ('ROT_TWO', 'POP_TOP')
214: ('LOAD_GLOBAL', 'CONTAINS_OP')
208: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
208: ('CALL_FUNCTION', 'EXTENDED_ARG')
200: ('BINARY_SUBSCR', 'RETURN_VALUE')
198: ('BINARY_SUBSCR', 'LOAD_FAST')
197: ('JUMP_FORWARD', 'SETUP_FINALLY')
193: ('MAKE_FUNCTION', 'LOAD_CONST')
193: ('EXTENDED_ARG', 'FOR_ITER')
192: ('<0>', 'LOAD_NAME')
191: ('FOR_ITER', 'STORE_NAME')
189: ('LOAD_BUILD_CLASS', 'LOAD_CONST')
188: ('LOAD_NAME', 'LOAD_METHOD')
182: ('LOAD_METHOD', 'LOAD_NAME')
177: ('LOAD_GLOBAL', 'STORE_FAST')
175: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
174: ('POP_TOP', 'EXTENDED_ARG')
170: ('LOAD_FAST', 'LOAD_DEREF')
161: ('LOAD_ATTR', 'STORE_SUBSCR')
160: ('STORE_NAME', 'LOAD_BUILD_CLASS')
156: ('LOAD_ATTR', 'LOAD_NAME')
153: ('LOAD_GLOBAL', 'POP_JUMP_IF_FALSE')
149: ('LOAD_GLOBAL', 'LOAD_CLOSURE')
148: ('LOAD_FAST', 'BUILD_SLICE')
147: ('MAP_ADD', 'JUMP_ABSOLUTE')
146: ('IMPORT_FROM', 'STORE_NAME')
146: ('LOAD_DEREF', 'LOAD_CONST')
142: ('POP_BLOCK', 'ROT_TWO')
142: ('CALL_FUNCTION', 'POP_BLOCK')
141: ('STORE_SUBSCR', 'LOAD_CONST')
139: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
137: ('MAKE_FUNCTION', 'CALL_FUNCTION')
135: ('STORE_SUBSCR', 'LOAD_FAST')
135: ('LOAD_GLOBAL', 'BINARY_AND')
133: ('BINARY_AND', 'POP_JUMP_IF_FALSE')
133: ('LOAD_FAST', 'ROT_TWO')
132: ('<0>', 'SETUP_FINALLY')
131: ('CALL_FUNCTION', 'LOAD_NAME')
129: ('ROT_TWO', 'LOAD_CONST')
128: ('COMPARE_OP', 'RETURN_VALUE')
127: ('LOAD_DEREF', 'LOAD_METHOD')
122: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
121: ('BUILD_LIST', 'CALL_METHOD')
120: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
120: ('EXTENDED_ARG', 'LOAD_CONST')
117: ('BINARY_ADD', 'LOAD_CONST')
115: ('ROT_THREE', 'COMPARE_OP')
115: ('DUP_TOP', 'ROT_THREE')
113: ('LOAD_GLOBAL', 'GET_ITER')
112: ('BINARY_SUBSCR', 'BUILD_TUPLE')
112: ('BINARY_SUBSCR', 'LOAD_DEREF')
112: ('CALL_METHOD', 'YIELD_VALUE')
109: ('BINARY_SUBSCR', 'BINARY_ADD')
108: ('LOAD_FAST', 'JUMP_FORWARD')
105: ('CALL_FUNCTION', 'LIST_APPEND')
104: ('POP_TOP', 'POP_EXCEPT')
104: ('BINARY_AND', 'COMPARE_OP')
101: ('BINARY_AND', 'LOAD_FAST')
95: ('STORE_FAST', 'JUMP_ABSOLUTE')
94: ('COMPARE_OP', 'JUMP_FORWARD')
94: ('JUMP_FORWARD', 'JUMP_IF_FALSE_OR_POP')
94: ('JUMP_IF_FALSE_OR_POP', 'LOAD_CONST')
92: ('LOAD_NAME', 'CALL_METHOD')
90: ('STORE_NAME', 'POP_TOP')
90: ('IMPORT_NAME', 'STORE_NAME')
89: ('LOAD_GLOBAL', 'COMPARE_OP')
88: ('LOAD_CONST', 'CONTAINS_OP')
88: ('LOAD_ATTR', 'EXTENDED_ARG')
86: ('STORE_ATTR', 'SETUP_FINALLY')
84: ('LIST_EXTEND', 'LIST_TO_TUPLE')
83: ('LOAD_DEREF', 'BUILD_TUPLE')
