30664: ('IS_OP', 'EXTENDED_ARG')
30532: ('CALL_FUNCTION_KW', 'RETURN_VALUE')
30037: ('BINARY_SUBSCR', 'CALL_METHOD')
30000: ('JUMP_IF_TRUE_OR_POP', 'BUILD_MAP')
28415: ('CALL_FUNCTION', 'EXTENDED_ARG')
27796: ('EXTENDED_ARG', 'FOR_ITER')
27639: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
27405: ('LOAD_FAST', 'BUILD_MAP')
27331: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
27240: ('BINARY_SUBSCR', 'LOAD_FAST')
27234: ('LOAD_CONST', 'BUILD_LIST')
27080: ('LOAD_ATTR', 'DUP_TOP')
27007: ('ROT_FOUR', 'POP_EXCEPT')
27007: ('POP_EXCEPT', 'RETURN_VALUE')
27004: ('LOAD_FAST', 'ROT_FOUR')
27001: ('POP_BLOCK', 'LOAD_FAST')
26436: ('POP_TOP', 'SETUP_FINALLY')
26347: ('BINARY_SUBSCR', 'POP_BLOCK')
26252: ('LOAD_ATTR', 'CONTAINS_OP')
25594: ('BUILD_TUPLE', 'LOAD_CONST')
25178: ('BINARY_SUBSCR', 'CALL_FUNCTION')
24925: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
24525: ('LOAD_CONST', 'STORE_SUBSCR')
24416: ('CALL_FUNCTION_EX', 'STORE_FAST')
24404: ('LOAD_GLOBAL', 'LOAD_DEREF')
24224: ('CALL_FUNCTION', 'DUP_TOP')
24061: ('STORE_ATTR', 'BUILD_LIST')
24014: ('DUP_TOP', 'LOAD_FAST')
24005: ('LOAD_CONST', 'JUMP_FORWARD')
23732: ('JUMP_ABSOLUTE', 'LOAD_FAST')
22286: ('ROT_TWO', 'POP_TOP')
22187: ('POP_EXCEPT', 'LOAD_CONST')
22172: ('LOAD_CLOSURE', 'BUILD_TUPLE')
21852: ('BINARY_ADD', 'CALL_METHOD')
21591: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
21557: ('JUMP_FORWARD', 'SETUP_FINALLY')
21546: ('FOR_ITER', 'JUMP_FORWARD')
21519: ('LIST_EXTEND', 'LIST_TO_TUPLE')
21494: ('LOAD_FAST', 'LIST_EXTEND')
21415: ('STORE_ATTR', 'JUMP_FORWARD')
21341: ('STORE_ATTR', 'SETUP_FINALLY')
21178: ('LOAD_GLOBAL', 'CALL_METHOD')
21050: ('LOAD_ATTR', 'BUILD_TUPLE')
21007: ('LOAD_CONST', 'RAISE_VARARGS')
21000: ('CALL_FUNCTION_KW', 'LOAD_FAST')
20563: ('CALL_FUNCTION', 'POP_BLOCK')
20208: ('BUILD_TUPLE', 'CALL_METHOD')
20132: ('LOAD_GLOBAL', 'STORE_FAST')
20038: ('LOAD_FAST', 'BUILD_SLICE')
18882: ('CALL_FUNCTION', 'LOAD_ATTR')
18488: ('STORE_SUBSCR', 'LOAD_FAST')
18452: ('MAKE_FUNCTION', 'STORE_FAST')
18392: ('ROT_TWO', 'STORE_FAST')
18231: ('BINARY_ADD', 'STORE_SUBSCR')
18035: ('<0>', 'BUILD_MAP')
18003: ('LOAD_FAST', 'DELETE_ATTR')
18000: ('BUILD_CONST_KEY_MAP', 'LOAD_FAST')
17235: ('LOAD_FAST', 'LOAD_DEREF')
17070: ('JUMP_IF_FALSE_OR_POP', 'LOAD_FAST')
17049: ('STORE_SUBSCR', 'JUMP_FORWARD')
16653: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
15937: ('STORE_FAST', 'BUILD_LIST')
15934: ('ROT_THREE', 'COMPARE_OP')
15934: ('DUP_TOP', 'ROT_THREE')
15633: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
15311: ('LIST_TO_TUPLE', 'CALL_FUNCTION_EX')
15231: ('CALL_METHOD', 'ROT_TWO')
15059: ('JUMP_IF_TRUE_OR_POP', 'STORE_FAST')
15040: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
15004: ('POP_JUMP_IF_TRUE', 'POP_BLOCK')
15002: ('COMPARE_OP', 'YIELD_VALUE')
15001: ('CALL_FUNCTION', 'JUMP_IF_FALSE_OR_POP')
14503: ('STORE_FAST', 'EXTENDED_ARG')
14503: ('CALL_METHOD', 'LIST_APPEND')
14384: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
13673: ('CALL_FUNCTION', 'LIST_APPEND')
13539: ('STORE_FAST', 'LOAD_DEREF')
13337: ('JUMP_FORWARD', 'POP_BLOCK')
12684: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
12452: ('BUILD_LIST', 'CALL_METHOD')
12304: ('SETUP_FINALLY', 'SETUP_FINALLY')
12302: ('LOAD_DEREF', 'CALL_FUNCTION')
12274: ('CONTAINS_OP', 'STORE_FAST')
12225: ('CALL_FUNCTION_EX', 'LOAD_FAST')
12214: ('COMPARE_OP', 'STORE_FAST')
12172: ('BUILD_TUPLE', 'LIST_APPEND')
12063: ('BINARY_SUBSCR', 'YIELD_VALUE')
12048: ('LOAD_ATTR', 'BINARY_ADD')
12039: ('CALL_METHOD', 'BINARY_ADD')
12027: ('FOR_ITER', 'POP_BLOCK')
12024: ('LOAD_ATTR', 'IS_OP')
12021: ('LOAD_ATTR', 'LOAD_DEREF')
12006: ('CALL_FUNCTION', 'STORE_SUBSCR')
12002: ('DELETE_ATTR', 'LOAD_FAST')
12001: ('POP_JUMP_IF_FALSE', 'BUILD_MAP')
12001: ('IS_OP', 'RETURN_VALUE')
12001: ('CALL_METHOD', 'COMPARE_OP')
12000: ('BINARY_SUBSCR', 'POP_JUMP_IF_FALSE')
12000: ('IS_OP', 'JUMP_IF_TRUE_OR_POP')
12000: ('CALL_FUNCTION_EX', 'UNPACK_SEQUENCE')
12000: ('CALL_METHOD', 'CALL_FUNCTION_EX')
11091: ('GET_ITER', 'EXTENDED_ARG')
11080: ('CALL_METHOD', 'DUP_TOP')
10572: ('EXTENDED_ARG', 'SETUP_FINALLY')
10385: ('LOAD_NAME', 'LOAD_METHOD')
10143: ('CONTAINS_OP', 'EXTENDED_ARG')
9745: ('MAP_ADD', 'JUMP_ABSOLUTE')
9715: ('BUILD_TUPLE', 'BINARY_MODULO')
9665: ('MAKE_FUNCTION', 'LOAD_CONST')
9481: ('BINARY_ADD', 'LOAD_CONST')
9465: ('CALL_METHOD', 'POP_BLOCK')
9301: ('INPLACE_SUBTRACT', 'ROT_TWO')
9282: ('CALL_METHOD', 'LOAD_GLOBAL')
9265: ('LOAD_ATTR', 'EXTENDED_ARG')
9237: ('CALL_FUNCTION', 'COMPARE_OP')
9221: ('JUMP_IF_FALSE_OR_POP', 'STORE_FAST')
9108: ('LOAD_ATTR', 'STORE_ATTR')
9099: ('SETUP_FINALLY', 'LOAD_CONST')
9038: ('BUILD_TUPLE', 'JUMP_IF_NOT_EXC_MATCH')
9037: ('BUILD_MAP', 'CALL_FUNCTION')
9016: ('LOAD_ATTR', 'STORE_DEREF')
9007: ('CALL_METHOD', 'JUMP_IF_TRUE_OR_POP')
9006: ('JUMP_FORWARD', 'LOAD_CLOSURE')
9005: ('EXTENDED_ARG', 'JUMP_IF_TRUE_OR_POP')
9001: ('BUILD_LIST', 'ROT_TWO')
9001: ('LOAD_GLOBAL', 'POP_JUMP_IF_TRUE')
9000: ('BUILD_LIST', 'MAP_ADD')
9000: ('IMPORT_FROM', 'STORE_FAST')
9000: ('STORE_DEREF', 'JUMP_FORWARD')
8064: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
7644: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
7133: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
7078: ('LOAD_CONST', 'IMPORT_NAME')
7072: ('STORE_FAST', 'POP_TOP')
6966: ('STORE_NAME', 'LOAD_CONST')
6561: ('IMPORT_NAME', 'IMPORT_FROM')
6414: ('BINARY_SUBSCR', 'BINARY_ADD')
6384: ('EXTENDED_ARG', 'JUMP_FORWARD')
6361: ('CALL_METHOD', 'EXTENDED_ARG')
6220: ('EXTENDED_ARG', 'JUMP_IF_FALSE_OR_POP')
6209: ('CALL_METHOD', 'SETUP_WITH')
6208: ('LIST_TO_TUPLE', 'BUILD_MAP')
6132: ('CALL_METHOD', 'LOAD_ATTR')
6081: ('STORE_NAME', 'LOAD_NAME')
6071: ('JUMP_IF_TRUE_OR_POP', 'RETURN_VALUE')
6062: ('LOAD_CONST', 'GET_ITER')
6029: ('STORE_FAST', 'BUILD_MAP')
6028: ('<0>', 'LOAD_CLOSURE')
6024: ('POP_JUMP_IF_TRUE', 'JUMP_FORWARD')
6019: ('POP_JUMP_IF_TRUE', 'RERAISE')
6018: ('WITH_EXCEPT_START', 'POP_JUMP_IF_TRUE')
6012: ('LOAD_GLOBAL', 'EXTENDED_ARG')
6004: ('BUILD_LIST', 'CALL_FUNCTION')
6003: ('ROT_THREE', 'ROT_TWO')
6001: ('ROT_TWO', 'LOAD_FAST')
6001: ('BINARY_ADD', 'EXTENDED_ARG')
6001: ('BINARY_SUBSCR', 'POP_TOP')
6001: ('DELETE_ATTR', 'SETUP_FINALLY')
6001: ('BUILD_LIST', 'RETURN_VALUE')
6001: ('LOAD_ATTR', 'POP_TOP')
6001: ('LOAD_FAST', 'ROT_THREE')
6001: ('LOAD_DEREF', 'STORE_SUBSCR')
6000: ('STORE_SUBSCR', 'LOAD_CLOSURE')
6000: ('LOAD_CONST', 'ROT_TWO')
6000: ('LOAD_CONST', 'YIELD_VALUE')
6000: ('BUILD_MAP', 'JUMP_FORWARD')
6000: ('JUMP_FORWARD', 'BUILD_MAP')
6000: ('JUMP_IF_TRUE_OR_POP', 'BINARY_ADD')
6000: ('LOAD_GLOBAL', 'BUILD_MAP')
6000: ('LOAD_GLOBAL', 'RAISE_VARARGS')
6000: ('CONTAINS_OP', 'LOAD_FAST')
6000: ('CALL_FUNCTION_KW', 'DUP_TOP')
6000: ('CALL_FUNCTION_EX', 'CALL_FUNCTION')
6000: ('CALL_METHOD', 'JUMP_FORWARD')
5952: ('STORE_SUBSCR', 'EXTENDED_ARG')
5316: ('LOAD_NAME', 'LOAD_CONST')
4693: ('POP_TOP', 'EXTENDED_ARG')
4548: ('STORE_ATTR', 'POP_BLOCK')
4495: ('LOAD_FAST', 'BINARY_SUBTRACT')
4471: ('BINARY_ADD', 'CALL_FUNCTION')
4408: ('FOR_ITER', 'STORE_NAME')
4260: ('LOAD_DEREF', 'LOAD_GLOBAL')
4189: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
4179: ('LOAD_METHOD', 'LOAD_NAME')
4135: ('DUP_TOP', 'STORE_FAST')
4058: ('CALL_FUNCTION', 'SETUP_WITH')
3990: ('MAKE_FUNCTION', 'STORE_NAME')
3849: ('STORE_SUBSCR', 'SETUP_FINALLY')
3655: ('BINARY_SUBTRACT', 'STORE_FAST')
3647: ('LOAD_GLOBAL', 'BINARY_AND')
3634: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
3577: ('STORE_SUBSCR', 'POP_BLOCK')
3511: ('CALL_FUNCTION', 'INPLACE_ADD')
3487: ('LOAD_FAST', 'ROT_TWO')
3486: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
3451: ('LOAD_CONST', 'BUILD_MAP')
3412: ('LOAD_FAST', 'JUMP_FORWARD')
3389: ('BINARY_MODULO', 'STORE_FAST')
3373: ('POP_TOP', 'LOAD_NAME')
3341: ('POP_JUMP_IF_TRUE', 'JUMP_ABSOLUTE')
3303: ('STORE_FAST', 'POP_EXCEPT')
3301: ('LOAD_CONST', 'INPLACE_SUBTRACT')
3275: ('LOAD_CONST', 'LOAD_DEREF')
3273: ('STORE_SUBSCR', 'LOAD_GLOBAL')
3232: ('BUILD_LIST', 'COMPARE_OP')
3232: ('BUILD_CONST_KEY_MAP', 'STORE_FAST')
3210: ('SETUP_WITH', 'STORE_FAST')
3206: ('BUILD_CONST_KEY_MAP', 'RETURN_VALUE')
3194: ('LOAD_CONST', 'BUILD_TUPLE')
3189: ('POP_JUMP_IF_TRUE', 'FOR_ITER')
3171: ('POP_JUMP_IF_FALSE', 'LOAD_NAME')
3126: ('LOAD_NAME', 'LOAD_NAME')
3121: ('POP_TOP', 'BUILD_LIST')
3108: ('POP_JUMP_IF_FALSE', 'JUMP_FORWARD')
3096: ('LOAD_CONST', 'UNPACK_SEQUENCE')
3068: ('BINARY_MODULO', 'RETURN_VALUE')
3066: ('POP_BLOCK', 'JUMP_ABSOLUTE')
3063: ('LOAD_GLOBAL', 'RETURN_VALUE')
3052: ('MAKE_FUNCTION', 'LOAD_DEREF')
3048: ('UNARY_NOT', 'STORE_FAST')
3043: ('CALL_FUNCTION', 'BINARY_ADD')
3033: ('BINARY_ADD', 'INPLACE_ADD')
3026: ('<0>', 'LOAD_DEREF')
3025: ('IS_OP', 'STORE_FAST')
3024: ('LOAD_DEREF', 'STORE_ATTR')
3021: ('JUMP_IF_TRUE_OR_POP', 'CALL_METHOD')
3018: ('POP_JUMP_IF_TRUE', 'POP_TOP')
3017: ('SETUP_FINALLY', 'LOAD_DEREF')
3017: ('EXTENDED_ARG', 'JUMP_IF_NOT_EXC_MATCH')
3015: ('CALL_FUNCTION_EX', 'POP_BLOCK')
3014: ('CONTAINS_OP', 'POP_JUMP_IF_TRUE')
3012: ('CALL_FUNCTION', 'CONTAINS_OP')
3010: ('JUMP_FORWARD', 'BUILD_LIST')
3010: ('JUMP_IF_TRUE_OR_POP', 'LOAD_CONST')
3009: ('CONTAINS_OP', 'JUMP_IF_FALSE_OR_POP')
3007: ('JUMP_ABSOLUTE', 'LOAD_CONST')
3006: ('LOAD_CONST', 'SET_UPDATE')
3006: ('BUILD_SET', 'LOAD_CONST')
3003: ('BINARY_SUBSCR', 'ROT_TWO')
3002: ('BINARY_MODULO', 'LOAD_CONST')
3002: ('BUILD_LIST', 'JUMP_FORWARD')
3001: ('BINARY_MODULO', 'CALL_METHOD')
3001: ('POP_BLOCK', 'EXTENDED_ARG')
3001: ('LOAD_FAST', 'JUMP_IF_FALSE_OR_POP')
3001: ('RAISE_VARARGS', 'WITH_EXCEPT_START')
3001: ('BUILD_SLICE', 'DELETE_SUBSCR')
3000: ('UNARY_NOT', 'BUILD_LIST')
3000: ('BINARY_SUBSCR', 'JUMP_FORWARD')
3000: ('DELETE_SUBSCR', 'LOAD_FAST')
3000: ('UNPACK_SEQUENCE', 'LOAD_FAST')
3000: ('LOAD_CONST', 'BINARY_MODULO')
3000: ('LOAD_ATTR', 'JUMP_IF_FALSE_OR_POP')
3000: ('LOAD_ATTR', 'JUMP_IF_NOT_EXC_MATCH')
3000: ('LOAD_ATTR', 'BUILD_SLICE')
3000: ('LOAD_ATTR', 'DICT_MERGE')
3000: ('JUMP_FORWARD', 'POP_EXCEPT')
3000: ('JUMP_IF_TRUE_OR_POP', 'UNARY_NOT')
3000: ('LOAD_GLOBAL', 'YIELD_VALUE')
3000: ('CONTAINS_OP', 'JUMP_IF_TRUE_OR_POP')
3000: ('LOAD_FAST', 'INPLACE_SUBTRACT')
3000: ('STORE_FAST', 'IMPORT_FROM')
3000: ('CALL_FUNCTION', 'UNARY_NOT')
3000: ('CALL_FUNCTION', 'INPLACE_SUBTRACT')
