568: ('BINARY_ADD', 'BUILD_SLICE')
568: ('BINARY_AND', 'POP_JUMP_IF_TRUE')
566: ('LOAD_CONST', 'BINARY_FLOOR_DIVIDE')
561: ('IMPORT_FROM', 'STORE_NAME')
560: ('LOAD_GLOBAL', 'LOAD_CLOSURE')
560: ('LOAD_FAST', 'BINARY_SUBTRACT')
559: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
555: ('JUMP_IF_FALSE_OR_POP', 'LOAD_DEREF')
550: ('LOAD_FAST', 'INPLACE_ADD')
540: ('MAKE_FUNCTION', 'LOAD_CONST')
532: ('STORE_SUBSCR', 'POP_BLOCK')
532: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
530: ('LOAD_GLOBAL', 'LOAD_DEREF')
530: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
522: ('LOAD_FAST', 'DUP_TOP')
521: ('<0>', 'LOAD_NAME')
521: ('LOAD_BUILD_CLASS', 'LOAD_CONST')
521: ('POP_JUMP_IF_FALSE', 'EXTENDED_ARG')
513: ('IMPORT_NAME', 'STORE_NAME')
512: ('BINARY_MODULO', 'LIST_APPEND')
512: ('BINARY_FLOOR_DIVIDE', 'STORE_SUBSCR')
504: ('BINARY_SUBSCR', 'POP_BLOCK')
503: ('CALL_FUNCTION_EX', 'POP_TOP')
492: ('POP_EXCEPT', 'LOAD_CONST')
489: ('LOAD_ATTR', 'SETUP_WITH')
486: ('STORE_SUBSCR', 'LOAD_FAST')
485: ('BINARY_SUBSCR', 'GET_ITER')
477: ('BINARY_SUBSCR', 'BUILD_TUPLE')
473: ('FORMAT_VALUE', 'BUILD_STRING')
469: ('FOR_ITER', 'STORE_NAME')
463: ('STORE_DEREF', 'LOAD_GLOBAL')
460: ('LOAD_CONST', 'BINARY_MULTIPLY')
458: ('LOAD_NAME', 'LOAD_METHOD')
449: ('BINARY_SUBSCR', 'LOAD_METHOD')
447: ('STORE_NAME', 'LOAD_BUILD_CLASS')
445: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
442: ('ROT_TWO', 'STORE_ATTR')
442: ('DUP_TOP', 'LOAD_ATTR')
417: ('LIST_TO_TUPLE', 'CALL_FUNCTION_EX')
416: ('BINARY_SUBTRACT', 'RETURN_VALUE')
411: ('JUMP_FORWARD', 'POP_BLOCK')
403: ('LOAD_CONST', 'BUILD_STRING')
403: ('LOAD_DEREF', 'LOAD_ATTR')
394: ('LOAD_FAST', 'ROT_TWO')
392: ('BUILD_STRING', 'LOAD_FAST')
391: ('BINARY_ADD', 'LOAD_CONST')
390: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
390: ('LOAD_FAST', 'BINARY_POWER')
389: ('LOAD_DEREF', 'LOAD_METHOD')
