68: ('POP_TOP', 'POP_EXCEPT')
68: ('BINARY_SUBSCR', 'RETURN_VALUE')
67: ('STORE_ATTR', 'JUMP_FORWARD')
67: ('CALL_METHOD', 'LOAD_GLOBAL')
66: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
64: ('SETUP_FINALLY', 'SETUP_FINALLY')
63: ('LOAD_ATTR', 'EXTENDED_ARG')
62: ('INPLACE_ADD', 'ROT_TWO')
62: ('INPLACE_SUBTRACT', 'ROT_TWO')
62: ('DELETE_SUBSCR', 'LOAD_CONST')
62: ('LOAD_CONST', 'INPLACE_ADD')
62: ('LOAD_CONST', 'INPLACE_SUBTRACT')
62: ('LOAD_ATTR', 'LOAD_GLOBAL')
61: ('LOAD_ATTR', 'DUP_TOP')
61: ('LIST_EXTEND', 'LIST_TO_TUPLE')
60: ('STORE_ATTR', 'SETUP_FINALLY')
60: ('LOAD_FAST', 'JUMP_IF_TRUE_OR_POP')
58: ('STORE_SUBSCR', 'LOAD_GLOBAL')
58: ('DELETE_SUBSCR', 'POP_BLOCK')
56: ('CONTAINS_OP', 'STORE_FAST')
55: ('IMPORT_NAME', 'IMPORT_FROM')
54: ('STORE_NAME', 'POP_TOP')
54: ('LOAD_NAME', 'BUILD_TUPLE')
53: ('LOAD_FAST', 'LIST_EXTEND')
53: ('LOAD_DEREF', 'BUILD_TUPLE')
52: ('FOR_ITER', 'JUMP_ABSOLUTE')
52: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
52: ('LOAD_METHOD', 'LOAD_NAME')
48: ('BINARY_AND', 'LOAD_FAST')
48: ('LOAD_CONST', 'BUILD_MAP')
48: ('BUILD_TUPLE', 'YIELD_VALUE')
47: ('BINARY_AND', 'LOAD_CONST')
47: ('LOAD_NAME', 'CALL_METHOD')
46: ('BUILD_TUPLE', 'BUILD_MAP')
45: ('BUILD_MAP', 'CALL_METHOD')
45: ('POP_JUMP_IF_FALSE', 'JUMP_FORWARD')
45: ('CALL_METHOD', 'GET_ITER')
44: ('STORE_FAST', 'BUILD_LIST')
44: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
44: ('CALL_FUNCTION_KW', 'STORE_FAST')
43: ('BINARY_AND', 'POP_JUMP_IF_FALSE')
43: ('LOAD_CONST', 'CONTAINS_OP')
43: ('POP_JUMP_IF_FALSE', 'POP_TOP')
43: ('LOAD_FAST', 'CALL_FUNCTION_EX')
41: ('STORE_NAME', 'IMPORT_FROM')
41: ('LOAD_ATTR', 'BUILD_LIST')
40: ('POP_BLOCK', 'JUMP_ABSOLUTE')
40: ('BUILD_TUPLE', 'JUMP_IF_NOT_EXC_MATCH')
40: ('STORE_FAST', 'JUMP_ABSOLUTE')
39: ('BUILD_TUPLE', 'LOAD_NAME')
39: ('JUMP_IF_TRUE_OR_POP', 'RETURN_VALUE')
39: ('LOAD_GLOBAL', 'COMPARE_OP')
38: ('BUILD_LIST', 'COMPARE_OP')
38: ('LOAD_ATTR', 'STORE_NAME')
38: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
38: ('CALL_FUNCTION', 'GET_ITER')
38: ('CALL_METHOD', 'ROT_TWO')
37: ('LOAD_CONST', 'BINARY_MULTIPLY')
37: ('SETUP_WITH', 'STORE_FAST')
37: ('BUILD_CONST_KEY_MAP', 'STORE_FAST')
37: ('CALL_METHOD', 'SETUP_WITH')
36: ('BINARY_MULTIPLY', 'LOAD_FAST')
36: ('BINARY_MULTIPLY', 'CALL_METHOD')
36: ('BINARY_SUBSCR', 'CALL_METHOD')
36: ('LIST_TO_TUPLE', 'BUILD_MAP')
36: ('POP_BLOCK', 'RETURN_VALUE')
36: ('LOAD_FAST', 'BINARY_MULTIPLY')
36: ('LOAD_FAST', 'YIELD_VALUE')
36: ('BUILD_CONST_KEY_MAP', 'RETURN_VALUE')
36: ('CALL_METHOD', 'POP_BLOCK')
35: ('COMPARE_OP', 'STORE_FAST')
35: ('STORE_DEREF', 'LOAD_DEREF')
34: ('LOAD_NAME', 'STORE_SUBSCR')
33: ('FOR_ITER', 'STORE_DEREF')
33: ('CALL_FUNCTION', 'MAP_ADD')
32: ('LOAD_GLOBAL', 'LOAD_DEREF')
31: ('LOAD_CONST', 'LOAD_GLOBAL')
30: ('UNPACK_SEQUENCE', 'STORE_DEREF')
30: ('BUILD_LIST', 'LOAD_CONST')
30: ('POP_JUMP_IF_TRUE', 'LOAD_DEREF')
30: ('LOAD_DEREF', 'CONTAINS_OP')
30: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
29: ('DUP_TOP', 'STORE_NAME')
29: ('POP_EXCEPT', 'JUMP_ABSOLUTE')
29: ('STORE_DEREF', 'STORE_FAST')
28: ('STORE_NAME', 'LOAD_CLOSURE')
28: ('SETUP_FINALLY', 'LOAD_CONST')
27: ('FOR_ITER', 'POP_BLOCK')
27: ('LOAD_FAST', 'FORMAT_VALUE')
27: ('LOAD_DEREF', 'LOAD_ATTR')
26: ('LOAD_CONST', 'BUILD_TUPLE')
26: ('LOAD_CONST', 'LIST_EXTEND')
26: ('EXTENDED_ARG', 'FOR_ITER')
25: ('LIST_TO_TUPLE', 'CALL_FUNCTION_EX')
25: ('FOR_ITER', 'STORE_NAME')
25: ('LOAD_GLOBAL', 'RETURN_VALUE')
24: ('BINARY_ADD', 'MAP_ADD')
24: ('STORE_NAME', 'BUILD_LIST')
24: ('FOR_ITER', 'LOAD_GLOBAL')
24: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
24: ('JUMP_ABSOLUTE', 'LOAD_FAST')
24: ('CALL_FUNCTION', 'BINARY_ADD')
24: ('LOAD_METHOD', 'LOAD_CLOSURE')
23: ('STORE_SUBSCR', 'LOAD_NAME')
22: ('INPLACE_ADD', 'STORE_FAST')
22: ('STORE_NAME', 'SETUP_FINALLY')
22: ('LOAD_CONST', 'BUILD_LIST')
22: ('LOAD_GLOBAL', 'STORE_FAST')
22: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
21: ('BINARY_ADD', 'INPLACE_ADD')
21: ('LOAD_CONST', 'GET_ITER')
21: ('BUILD_TUPLE', 'STORE_FAST')
21: ('BUILD_MAP', 'STORE_NAME')
21: ('FORMAT_VALUE', 'LOAD_CONST')
20: ('POP_TOP', 'JUMP_IF_FALSE_OR_POP')
20: ('JUMP_IF_FALSE_OR_POP', 'ROT_TWO')
20: ('CALL_FUNCTION', 'DUP_TOP')
20: ('LIST_EXTEND', 'STORE_NAME')
18: ('POP_TOP', 'LOAD_BUILD_CLASS')
18: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
18: ('STORE_NAME', 'STORE_NAME')
17: ('BINARY_SUBSCR', 'MAP_ADD')
17: ('DELETE_SUBSCR', 'JUMP_ABSOLUTE')
17: ('POP_EXCEPT', 'LOAD_CONST')
17: ('BUILD_LIST', 'STORE_NAME')
17: ('JUMP_FORWARD', 'LOAD_DEREF')
17: ('JUMP_FORWARD', 'EXTENDED_ARG')
17: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
17: ('CALL_FUNCTION_EX', 'POP_TOP')
17: ('CALL_FUNCTION_EX', 'LOAD_FAST')
16: ('<0>', 'BUILD_SET')
16: ('STORE_GLOBAL', 'LOAD_CONST')
16: ('BUILD_SET', 'LOAD_FAST')
16: ('LOAD_ATTR', 'LOAD_NAME')
16: ('BUILD_CONST_KEY_MAP', 'LOAD_CONST')
15: ('POP_TOP', 'EXTENDED_ARG')
15: ('FORMAT_VALUE', 'BUILD_STRING')
14: ('DELETE_NAME', 'DELETE_NAME')
14: ('LOAD_NAME', 'BUILD_MAP')
14: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
14: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
14: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
14: ('LOAD_GLOBAL', 'POP_JUMP_IF_FALSE')
14: ('LOAD_DEREF', 'CALL_FUNCTION')
14: ('CALL_FUNCTION_KW', 'RAISE_VARARGS')
13: ('STORE_NAME', 'RETURN_VALUE')
13: ('STORE_NAME', 'BUILD_MAP')
13: ('LOAD_CONST', 'LOAD_ATTR')
13: ('BUILD_TUPLE', 'GET_ITER')
13: ('BUILD_SET', 'CONTAINS_OP')
13: ('LOAD_ATTR', 'BUILD_SET')
13: ('STORE_FAST', 'POP_TOP')
13: ('LOAD_CLOSURE', 'DUP_TOP')
13: ('LOAD_METHOD', 'LOAD_DEREF')
12: ('STORE_ATTR', 'BUILD_LIST')
12: ('LOAD_CONST', 'LOAD_DEREF')
12: ('BUILD_TUPLE', 'BUILD_TUPLE')
12: ('POP_JUMP_IF_FALSE', 'LOAD_NAME')
12: ('LOAD_GLOBAL', 'BINARY_AND')
12: ('CALL_FUNCTION', 'BUILD_TUPLE')
11: ('DELETE_NAME', 'LOAD_CONST')
11: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
10: ('<0>', 'BUILD_MAP')
10: ('<0>', 'LOAD_CLOSURE')
10: ('STORE_NAME', 'DELETE_NAME')
10: ('LOAD_CONST', 'STORE_GLOBAL')
10: ('LOAD_CONST', 'BUILD_STRING')
10: ('LOAD_NAME', 'BUILD_SET')
10: ('BUILD_TUPLE', 'BUILD_LIST')
10: ('LOAD_ATTR', 'BUILD_TUPLE')
10: ('POP_JUMP_IF_FALSE', 'EXTENDED_ARG')
10: ('LOAD_FAST', 'SET_ADD')
10: ('CALL_FUNCTION', 'CONTAINS_OP')
10: ('CALL_FUNCTION_KW', 'STORE_NAME')
10: ('BUILD_STRING', 'LOAD_FAST')
10: ('CALL_METHOD', 'CALL_FUNCTION')
10: ('CALL_METHOD', 'LOAD_METHOD')
