297: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
291: ('CALL_METHOD', 'JUMP_IF_FALSE_OR_POP')
289: ('LOAD_FAST', 'ROT_TWO')
284: ('CALL_FUNCTION_KW', 'STORE_FAST')
281: ('UNARY_NOT', 'JUMP_IF_FALSE_OR_POP')
274: ('BUILD_TUPLE', 'RETURN_VALUE')
274: ('CALL_METHOD', 'UNPACK_SEQUENCE')
272: ('LOAD_FAST', 'JUMP_IF_TRUE_OR_POP')
268: ('LOAD_ATTR', 'STORE_SUBSCR')
268: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
264: ('LOAD_CONST', 'LOAD_METHOD')
258: ('BINARY_SUBTRACT', 'STORE_FAST')
256: ('BINARY_MODULO', 'LIST_APPEND')
254: ('INPLACE_ADD', 'STORE_FAST')
253: ('FOR_ITER', 'JUMP_ABSOLUTE')
250: ('JUMP_FORWARD', 'SETUP_FINALLY')
243: ('POP_EXCEPT', 'JUMP_FORWARD')
243: ('LOAD_ATTR', 'UNARY_NOT')
243: ('JUMP_IF_FALSE_OR_POP', 'LOAD_DEREF')
243: ('JUMP_IF_TRUE_OR_POP', 'STORE_FAST')
242: ('POP_TOP', 'EXTENDED_ARG')
242: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
238: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
236: ('POP_TOP', 'LOAD_NAME')
230: ('FOR_ITER', 'LOAD_GLOBAL')
230: ('CALL_FUNCTION_KW', 'RETURN_VALUE')
222: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
222: ('LOAD_GLOBAL', 'LOAD_CLOSURE')
217: ('BINARY_SUBSCR', 'LOAD_DEREF')
212: ('LOAD_NAME', 'LOAD_METHOD')
212: ('STORE_FAST', 'BUILD_LIST')
211: ('LOAD_FAST', 'BUILD_MAP')
206: ('STORE_FAST', 'JUMP_ABSOLUTE')
203: ('LOAD_DEREF', 'LOAD_METHOD')
202: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
201: ('BINARY_ADD', 'LOAD_CONST')
200: ('ROT_THREE', 'COMPARE_OP')
200: ('DUP_TOP', 'ROT_THREE')
200: ('POP_BLOCK', 'ROT_TWO')
198: ('CALL_FUNCTION', 'POP_BLOCK')
194: ('CONTAINS_OP', 'POP_JUMP_IF_TRUE')
192: ('BINARY_SUBSCR', 'BUILD_TUPLE')
192: ('CALL_FUNCTION', 'BUILD_TUPLE')
186: ('DELETE_SUBSCR', 'LOAD_CONST')
184: ('ROT_TWO', 'LOAD_CONST')
180: ('LOAD_CONST', 'INPLACE_SUBTRACT')
180: ('LIST_EXTEND', 'LIST_TO_TUPLE')
178: ('BUILD_LIST', 'CALL_METHOD')
178: ('BUILD_MAP', 'STORE_FAST')
175: ('STORE_SUBSCR', 'POP_BLOCK')
172: ('COMPARE_OP', 'RETURN_VALUE')
171: ('POP_TOP', 'POP_EXCEPT')
170: ('SETUP_FINALLY', 'SETUP_FINALLY')
169: ('INPLACE_SUBTRACT', 'ROT_TWO')
167: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
167: ('LOAD_METHOD', 'LOAD_NAME')
163: ('CALL_FUNCTION', 'MAP_ADD')
161: ('POP_BLOCK', 'RETURN_VALUE')
161: ('CALL_FUNCTION_EX', 'STORE_FAST')
160: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
157: ('IMPORT_NAME', 'STORE_NAME')
157: ('LOAD_GLOBAL', 'GET_ITER')
156: ('BINARY_SUBSCR', 'BINARY_ADD')
